text,escalation_score_haiku,escalation_score_sonnet,escalation_diff,blame_direction_haiku,blame_direction_sonnet
"WE WILL SEAL THE BORDER, END THE INVASION, AND CARRY OUT THE LARGEST DEPORTATION OPERATION IN AMERICAN HISTORY!",6.0,0.0,6.0,-1.0,-1.0
"PRESIDENT TRUMP: ""With your support, we will get the border shut. We will send the illegals back. We will repel the invasion IMMEDIATELY... We will defend our territory, reclaim our sovereignty, and restore the allegiance of our government to the people of this country.""",3.0,0.0,3.0,-1.0,-1.0
"PRESIDENT TRUMP: On Day One of my new administration, I will stop all migrant flights. I will shut down all entries through the migrant phone app. I will END catch-and-release. I will restore Remain in Mexico. I will bring back Title 42. I will send in federal law enforcement to rescue every town that has been taken over by migrant gangs and criminal alien thugs. We will seal the border. We will stop the invasion. And we will begin the largest deportation operation in the history of our country.",3.0,0.0,3.0,-1.0,-1.0
FLASHBACK: U.S. officials warn Border Patrol agents to watch out for improvised explosive devices (IEDs) in an internal memo.The U.S. southern border has become a WAR ZONE under Kamala Harris's watch.,4.0,0.0,4.0,0.0,-1.0
"President Trump's plan to secure our border:- Stop all migrant flights- Shut down all entries through the migrant phone app- End catch-and-release- Restore Remain in Mexico- Bring back Title 42- Send in federal law enforcement to liberate Aurora, Colorado- Send Congress a bill to ban Sanctuary Cities- Seal the border- Stop the invasion- Begin the largest deportation operation in the history of our country",4.0,0.0,4.0,0.0,-1.0
President Trump will END the war in Ukraine before he even takes office!,4.0,1.0,3.0,0.0,-1.0
President Trump on funding deportations: I'll take it out of our defense budget because this is an INVASION!,4.0,0.0,4.0,0.0,-1.0
MARIA: Do you think there are after-effects [of the assassination attempt?]@RonnyJacksonTX: I don't think so - he's a unique individual. I have never ever been prouder of my president than we he stood up with blood all over his face and raised his fist in defiance. That was his warrior spirit from deep down inside. He's a warrior. He will not be deterred.,6.0,0.0,6.0,0.0,-1.0
"Now, we go forward as ONE MOVEMENT—more united and determined than ever before! We will never stop working to deliver a magnificent future for our people—and together, we will FIGHT, FIGHT, FIGHT, and we will WIN, WIN, WIN!",4.0,0.0,4.0,0.0,-1.0
"PRESIDENT TRUMP: And recently in Virginia at Trump National on the Potomac, I had lunch with the mother and sister of Rachel Morin.Rachel was a 37-year-old mother of 5 who was attacked, raped, and brutally murdered while out on a run. Police believe the sadistic monster charged with Rachel’s death first killed another woman in another country, then fled across Joe Biden’s wide-open border into the United States, after which he attacked a 9-year-old girl and her mother in a home invasion in Los Angeles, before murdering Rachel in Maryland.",3.0,0.0,3.0,-1.0,-1.0
"PRESIDENT TRUMP: If I was president, the war in Ukraine would never have happened, the October 7th attack on Israel would never have happened, and Russian nuclear submarines would not be circling Cuba 60 miles off our coasts.",6.0,3.0,3.0,0.0,0.0
"President Trump met with Polish President Andrzej Duda tonight in New York. The two presidents, who are great friends, discussed President Duda’s proposal for NATO countries to go to 3% spending on their defense. They also discussed the war between Russia and Ukraine, the conflict with Israel in the Middle East, and many other topics having to do with getting to world peace. The meeting, which took place in President Trump’s apartment at Trump Tower, lasted for two and a half hours.  President Trump fondly recalled his landmark trip to Poland in 2017 and praised the Polish people for steadfast defense of their sovereignty and to their commitment to the security of Europe’s borders from any and all threats.President Trump is a big fan of Poland and of the Polish people.",4.0,1.0,3.0,0.0,-1.0
"President Trump: ""With your vote, I will seal the border—I will stop the invasion... and we will liberate this nation from Crooked Joe and his migrant armies of dangerous criminals once and for all!",3.0,0.0,3.0,0.0,-1.0
"President Trump: “Joe Biden has no remorse, he’s got no regret, he’s got no empathy, no compassion, and worst of all, he has no intention of stopping the deadly invasion that stole precious Laken’s beautiful American life.”",3.0,0.0,3.0,0.0,-1.0
"🇺🇸Our brave warfighters executed counterterrorism airstrikes, killing dozens of ISIS jihadis hiding in a cave complex in Somalia.We continue to mop up the mess left by Biden. For years, terrorists killed Americans with impunity. Now, they are the prey—and we are the hunters.",4.0,0.0,4.0,0.0,-1.0
