date,source,title
2023-07-27,unknown,"Ukraine war: Moscow foils drone strike, Kyiv claims frontline success, UK MoD email slip up - Euronews"
2023-07-29,unknown,It’s Possible Ukraine Aimed Its New Deep-Strike Rocket At A Russian Air Base
2023-07-30,google-news,Drones and discord: Ukraine's push to spread anxiety in Russia's ranks - The Independent
2023-08-01,unknown,Japan pledges more support to Ukraine during finance dialogue
2023-08-03,unknown,"Blasts in Crimea, pro-Russia officials report Ukraine drone attack"
2023-08-04,unknown,Ukraine drone strike damages Russian tanker day after port attack - New York Post
2023-08-06,unknown,Russian Soprano Sues The Metropolitan Opera Over Ukraine-Linked Termination
2023-08-07,unknown,Turbulent waters: How the Black Sea became a hot spot in the war
2023-08-09,unknown,Ukraine urges evacuations as Russia claims gains
2023-08-10,cbs-news,Evacuations underway in parts of Ukraine under assault from Russian missile attacks
2023-08-12,unknown,"Russian shelling kills seven, including a baby, in Ukraine's Kherson region - Reuters"
2023-08-14,unknown,Russia unleashes country-wide missile barrage on Ukraine as Putin addresses security conference
2023-08-15,unknown,Ukraine Recaptures Key Village as Brutal Counteroffensive Drags On
2023-08-17,unknown,Female spy ring working for Russia busted in Ukraine
2023-08-18,unknown,"Seven killed, 129 wounded in Russian missile strike on Ukraine's Chernihiv"
2023-08-20,unknown,"Greece offers F-16 training, reconstruction help as Zelenskyy visits"
2023-08-22,unknown,Ukrainian hackers take over Russian rail company
2023-08-23,unknown,Ukrainian Database Exposes the Art Collections of Russian Oligarchs
2023-08-25,unknown,Famous Ukrainian Pilot ‘Juice’ Dies In Mid-Air Collision
2023-08-26,the-jerusalem-post,"Faith in battle: 52,000 holiday kits for Ukraine's Jews amid war"
2023-08-28,nbc-news,Vivek Ramaswamy defends positions on Ukraine and Taiwan
2023-08-29,unknown,"Dozens of Russian and Ukrainian drones in the Donetsk region are flying criss-crossing flight paths and causing congestion, report claims"
2023-08-31,unknown,"Ukraine says improving long distance weapon capacity increases part of Russia within ""finding out range"" [Followup]"
2023-09-02,cbs-news,Zelenskyy announces new Ukrainian defense minister
2023-09-03,unknown,Russia: No New Grain Deal Until West Meets Demands
2023-09-05,unknown,A new Kharkiv School of Architecture student project delivers valuable design solutions for rebuilding schools in Ukraine
2023-09-06,unknown,"UK To Urge PM Modi To ""Call Out"" Russia Over Ukraine Crisis: Report"
2023-09-08,unknown,Press release: UK donation of hydrographic equipment keeps Ukrainian waters safe
2023-09-10,rt,Ukraine in NATO different to Finland and Sweden – Kremlin
2023-09-11,usa-today,Christie lashes out at Trump after Putin says his indictments show 'rottenness' in the US
2023-09-13,unknown,Zelenskyy is expected to visit Capitol Hill as Congress is debating $21 billion in aid for Ukraine
2023-09-14,al-jazeera-english,"Hungary, Poland, Slovakia to continue own bans on Ukraine grains"
2023-09-16,newsweek,Ukrainian Soldiers Embrace Flag in Recaptured Town Near Bakhmut
2023-09-18,unknown,"Iran President Accuses US Of ""Fanning Flames Of Violence"" In Ukraine"
2023-09-19,unknown,The Ukrainians Are Using Their MRAP Armored Trucks in Direct Assaults On Russian Positions
2023-09-21,cbc-news,Key moments from Zelenskyy's speech to Parliament
2023-09-22,abc-news-au,"Sergei Lavrov dismisses Ukraine's peace plan and rails against the West, as another missile attack hits Crimea"
2023-09-24,unknown,The First M-1 Tanks Are In Ukraine. Expect A Lot More Soon.
2023-09-25,fox-news,"Senate leaders reach short-term budget deal with $6B in Ukraine aid, setting up showdown House"
2023-09-27,unknown,Shutdown-ready Republicans shouldn’t buy into Vivek Ramaswamy’s insane Ukraine plan
2023-09-29,unknown,U.K. To Offer Military Training Inside Ukraine
2023-09-30,unknown,"Royal Family website crashes for 90 minutes, Russian hacker group KillNet takes credit"
2023-10-02,unknown,"Amid House Chaos, Pence Urges Republicans To Continue Ukraine Aid"
2023-10-03,cbs-news,"Biden to deliver ""major speech"" on Ukraine funding"
2023-10-05,unknown,Ukraine Suddenly Discovers Money to Manufacture Its Own Weapons as U.S. Funding Dries Up
2023-10-07,unknown,Putin Says Russia Did Not Start the War in Ukraine
2023-10-08,unknown,Zelensky Asks If This Is A Bad Time To Maybe Get A Couple More Billion
2023-10-10,business-insider,Russian failures in Ukraine are forcing Moscow to give up on one of the biggest Putin-era military reforms
2023-10-11,fox-news,IOC hits Russian Olympic Committee with indefinite suspension after absorbing Ukrainian sports councils
2023-10-13,rt,Ukraine is at ‘dead end’ – former Zelensky aide
2023-10-14,unknown,Ukrainian Soldiers Learn First Aid Near Front Line
2023-10-16,unknown,Putin meets with Hungary's prime minister in rare in-person talks with an EU leader
2023-10-18,unknown,Ukrainians brace for new Russian assault on Avdiivka
2023-10-19,unknown,Details of Biden's $105 Billion Funding Request for Israel and Ukraine - The New York Times
2023-10-21,unknown,"Donald Trump Allegedly Shared State Secrets About Iraq and Ukraine With Australian Billionaire Anthony Pratt, Leaked Recordings Reveal"
2023-10-22,unknown,THE UKRAINE SUPPLY LINE WAR: Logistics Rules the Battlefield The four-month-old Ukrainian offensi
2023-10-24,unknown,"Russia disregards losses, presses on in Ukraine's Avdiivka"
2023-10-26,fox-news,More than 50 countries to attend Ukraine peace talks in Malta: 'Critical moment'
2023-10-27,unknown,"Desperate for air defense, Ukraine pushes US for ‘Franken’ weapons"
2023-10-29,unknown,"After watching Russia's and Ukraine's electronic warriors battle it out, the US military wants to 'dial up' up its own 'jamming power'"
2023-10-30,cbs-news,"Blinken, Austin urge Congress to pass funding to support both Israel and Ukraine"
2023-11-01,unknown,"Jews and Ukrainians band together in Minnesota to link conflicts in Israel, Ukraine"
2023-11-02,unknown,"Ukraine replaces special forces commander, removed officer wonders why"
2023-11-04,unknown,"Zelenskyy Pushes US for More Aid, Invites Trump to Ukraine (For A Lecture)"
2023-11-06,unknown,"Ukraine Would ""Be In The European Union"": Zelensky"
2023-11-07,unknown,Speech: The UK calls for Russia to end its war of aggression as it continues to inflict suffering on Ukraine and across the globe: UK statement at the UN Security Council
2023-11-09,unknown,Moldova Faces EU Pressure To Levy More Sanctions Against Russia
2023-11-10,unknown,Russia targets Kyiv in first missile attack on capital in 52 days
2023-11-12,unknown,Self-deception may seed 'hubris balancing': Study examines irrational actions leading to invasion of Ukraine
2023-11-14,unknown,"Record Russian budget will boost defense spending, shoring up Putin's support ahead of election"
2023-11-15,unknown,U.K.'s New Top Diplomat Cameron Visits Ukrainian Port City of Odesa
2023-11-17,unknown,"Russian drone attack hits Ukraine infrastructure, causes power outage"
2023-11-18,unknown,Biden needs to get real on border security to pass aid for Ukraine and keep our nation safe
2023-11-20,unknown,"Electronic warfare confounds civilian pilots, far from any battlefield"
2023-11-22,unknown,Russia throwing 'waves' of men in battle for key frontline Ukrainian city
2023-11-23,unknown,Head of Zelensky’s Party: Ukraine Could Have Accepted Russia's Peace Plan
2023-11-25,unknown,Cisco aids Ukraine defense with modified switches to counter Russian attacks
2023-11-26,unknown,"Deadly storm cuts power to nearly two million in Russia, Ukraine"
2023-11-28,unknown,So Long And Thanks For All The Fish! Russia’s Naval-Defense Dolphins May Have Escaped.
2023-11-29,unknown,Russian TV hacked to broadcast Zelensky’s speech vowing to liberate Crimea
2023-12-01,unknown,"Zaporizhzhia Nuclear Plant Power Restored, Averting 'Catastrophe'"
2023-12-03,unknown,Hungary's Orban demands Ukraine's EU membership be taken off the agenda at bloc summit
2023-12-04,unknown,"New Zealand’s foreign policy resets on Aukus, Gaza and Ukraine: Geoffrey Miller"
2023-12-06,unknown,Ukraine is running out of men to fight
2023-12-07,rt,Russians better off despite sanctions – poll
2023-12-09,unknown,Nearly half US voters think Biden is spending too much on Ukraine aid
2023-12-11,unknown,Zelenskyy makes his case to Congress for more U.S. aid in Ukraine's fight against Russia
2023-12-12,unknown,How Ukraine Keeps Warm When Russia Bombs
2023-12-14,unknown,Ukraine has $52 billion EU aid package veoted by Hungary
2023-12-15,rt,Scholz takes credit for ‘unanimous’ EU Ukraine vote
2023-12-17,unknown,Russian Volunteers Joining Ukraine to Fight Russia
2023-12-18,unknown,"News Wrap: Senate deal on Ukraine aid, border security not expected before holiday break"
2023-12-20,unknown,Mass drone attack hits several Kyiv districts
2023-12-22,unknown,Putin suffered 'big strategic defeat' in Ukraine war: NATO leader
2023-12-23,unknown,‘Glory to the Heroes’ documents the resilience of those on Ukraine’s front lines
2023-12-25,unknown,"Stalled on land, Ukraine scores 'victory' against Russia in Black Sea"
2023-12-26,unknown,"Indian envoy meets with Putin, bypassing Western pressure"
2023-12-28,newsweek,Putin's Massive Aerial Attack Backfires
2023-12-30,unknown,Ghost Ships at reawakened North Korea port put Ukraine in peril
2023-12-31,unknown,"Russia launches record number of drones in Ukraine, as Putin says Moscow will intensify its attacks"
2024-01-02,unknown,Russia and Ukraine exchange hundreds of prisoners of war in biggest release so far
2024-01-03,the-times-of-india,India has not sent any artillery to Ukraine: MEA
2024-01-05,unknown,Ukraine shows evidence Russia fired North Korea missile at Kharkiv - Reuters UK
2024-01-07,unknown,"Kremlin sends FSB agents to search for Ukrainian partisans in Kherson Oblast, Kyiv says"
2024-01-08,rt,West ready to back Ukraine ‘for years’ – UK Foreign Secretary
2024-01-10,unknown,Russian election candidate calls Ukraine war 'big mistake' by Putin
2024-01-11,unknown,Zelensky Hails 'Unprecedented' $3BN+ Arms Deal With UK As US Supplies Have Stopped
2024-01-13,unknown,Swiss diplomat: China needs to help end war in Ukraine
2024-01-14,unknown,Ukraine says it shot down 2 Russian command and control aircraft in a significant blow to Moscow
2024-01-16,unknown,2024's Must Read War-Related Books: Ukraine and A Brief Moment in Time by Author Dr. Richard Hagedorn
2024-01-18,unknown,"Friday, January 19. Russia’s War On Ukraine: News And Information From Ukraine"
2024-01-19,abc-news-au,Putin is facing a potential 'avalanche of disasters' at home. The timing couldn't be worse
2024-01-21,unknown,Can Ukraine’s economy survive without foreign aid? Experts aren’t sure
2024-01-22,newsweek,Ukraine Reveals New Defense System in War With Russia
2024-01-24,unknown,Putin has another crisis on his hands
2024-01-26,unknown,Russian missiles hit industrial target in central Ukraine -governor
2024-01-27,unknown,"Amid War, Zelensky Declares His Income As Part Of Transparency Drive"
2024-01-29,rt,Zelensky issued firing threat to Ukraine’s top general – media
2024-01-30,unknown,"Zelenskyy may want a new commander to replace Ukraine's 'Iron General,' reports say amid signs of rifts in the relationship"
2024-02-01,unknown,Ukraine Informs Washington Of Decision To Fire Zaluzhniy
2024-02-02,unknown,Russia: Police detain journalists at Moscow anti-war protest
2024-02-04,unknown,"Amid reports of looming dismissal, top Ukrainian general flirts on Facebook with far-right paramilitary leader"
2024-02-06,unknown,"Senate Republicans block bipartisan border package, then scramble to find support for Ukraine aid"
2024-02-07,unknown,If Russia Wins
2024-02-09,unknown,Russia and Ukraine complete new prisoner of war swap
2024-02-10,unknown,"Massive Ukraine, Israel aid package overcomes key Senate hurdle as 18 Republicans vote with Democrats"
2024-02-12,breitbart-news,Senators Smuggle Migration Funds into Ukraine Aid Bill
2024-02-14,unknown,"Intense artillery fire is causing more problems for Ukraine than just ammo shortages and putting gun crews at risk, new report says"
2024-02-15,marca,President Biden pins death of Alexei Navalny on Vladimir Putin
2024-02-17,unknown,Beware of Big Bad Russian Space Nukes!
2024-02-18,unknown,3 Stranded Tankers with Russian Sokol Crude Heading for China
2024-02-20,unknown,Ukrainian soldiers expect more assaults after Russian forces capture eastern town
2024-02-22,unknown,Brooks and Capehart on U.S. aid for Ukraine wavering on partisan battle lines
2024-02-23,unknown,‘Blinded’: Every A-50 Radar Plane The Ukrainians Shoot Down Opens A Gap In Russian Radar Coverage—A Gap The Ukrainians Can Exploit
2024-02-25,unknown,'No joke': Ottawa to give Ukraine $4 million to fund gender-inclusive demining
2024-02-26,unknown,Nato allies reject Emmanuel Macron idea of troops to Ukraine - BBC.com
2024-02-28,unknown,German chancellor slammed for revealing British military role in Ukraine
2024-02-29,unknown,"In Ukraine Now, Echoes of Vietnam in 1975"
2024-03-02,unknown,Russian Forces Destroy Another US-Made Abrams Tank Near Avdeyevka With Upyr Drones
2024-03-04,unknown,EU plans to boost defense industry and move away from U.S. dependency in the face of Russian threats
2024-03-05,newsweek,Russian Official Killed by Car Bomb in Ukraine
2024-03-07,rt,Zelensky could fire foreign minister – Ukrainian media
2024-03-08,unknown,Pope Francis Urges Ukraine to Have ‘Courage of the White Flag’ in Peace Talks
2024-03-10,unknown,Scott Ritter: Pentagon’s ‘Ukrainian Fantasy’ Is Falling Apart
2024-03-12,rt,Ukrainian militants caught lying about incursion into Russia
2024-03-13,unknown,Why Confiscated Russian Assets Must Pay For Ukraine’s Reconstruction
2024-03-15,unknown,"Bombs pummel Russia, as Ukrainians forced to vote for Putin at gunpoint"
2024-03-16,unknown,Ukraine says Russia attacks border regions as partial results show Putin reelection
2024-03-18,the-washington-post,Deadlock on U.S. aid hangs over talks to secure support for Ukraine
2024-03-19,fox-news,US national security adviser Jake Sullivan visits Kyiv as stalemate in Washington holds up aid
2024-03-21,unknown,ISIS claims attack on Moscow concert hall after Ukraine blames Putin
2024-03-23,unknown,Russia concert hall attack suspects appear in Moscow courtroom
2024-03-24,unknown,How will Russian athletes be cleared to compete at Paris 2024?
2024-03-26,unknown,Traitor Brits fighting for PUTIN in Ukraine branded ‘an absolute disgrace’ amid calls for them to be jailed
2024-03-27,unknown,"'Ukrainians are like children, waiting for someone to save us. Israelis are more like adults, working together'"
2024-03-29,unknown,"Zelenskiy says without US aid, Ukraine forces will have to retreat (Reuters)"
2024-03-31,unknown,"Johnson outlines plan for Ukraine aid, House could act within weeks"
2024-04-01,unknown,Biden warns Xi Jinping about China's ongoing support for Russia amid Ukraine war
2024-04-03,unknown,German AfD politician rejects Russian payment claims
2024-04-04,unknown,"Ukraine’s ambassador to US: ‘We need to win,’ but need ammunition now"
2024-04-06,unknown,Zelensky Warns U.S. Congress: Meet Ukraine Military Aid Demands or Russia Wins
2024-04-08,unknown,Russia’s Anti-Drone ‘Turtle Tank’ Got Too Famous For Its Own Good. Ukraine’s Troops Tracked It Down—And Blew It Up.
2024-04-09,unknown,US military veteran accused of having explicit images of a child apparently joined Russian army
2024-04-11,unknown,US says China is supplying missile and drone engines to Russia - Financial Times
2024-04-12,unknown,Ukrainian Fighter Pilots Are Itching To Glide-Bomb Russian Troops. Ukraine’s New Ram II Drones Are Clearing The Way.
2024-04-14,unknown,"Go for it, Speaker Johnson: Israel and Ukraine need American aid NOW"
2024-04-15,unknown,Motion to oust House Speaker Mike Johnson gets co-sponsor over Ukraine aid
2024-04-17,unknown,Did Mike Johnson Just Get Religion on Ukraine?
2024-04-19,unknown,"US House passes $95 billion Ukraine, Israel aid package"
2024-04-20,unknown,NATO Chief Denies Plans for Allied Combat Presence in Ukraine
2024-04-22,unknown,"Next Ukraine Package 'Larger Than Normal' As Biden Tells Zelensky Aid Coming ""Quickly"""
2024-04-23,unknown,Now It's Up to Europe to Take the Lead in Ukraine
2024-04-25,unknown,"Secretary of Defense Lloyd J. Austin III and Air Force General Charles Q. Brown Jr., Chairman, Joint Chiefs of Staff, Hold A News Conference Following Virtual Meeting of the Ukraine Defense Contact Group"
2024-04-27,unknown,DC Think Tank: Ukraine Aid Package Opens Door to the Nation's Destruction
2024-04-28,unknown,U.S. Signals Long-Term Artillery Production Rise After 2 Years of Ukraine Support
2024-04-30,unknown,"Soaring US munitions demand strains support for Israel, Ukraine, Taiwan..."
2024-05-01,unknown,Statement by Russian Defence Ministry
2024-05-03,rt,Italy publicly scolds Macron over Ukraine intervention talk
2024-05-04,unknown,Ukraine and Russia mark Orthodox Easter under shadow of war - Euronews
2024-05-06,unknown,A new plot to assassinate Ukraine's president has come to light
2024-05-08,unknown,"Ukrainian gymnast carries Paris Olympic torch with EU team, in a sign of support"
2024-05-09,newsweek,"Russia Has Lost Over 4,400 Troops, 54 Tanks in Ukraine Since Sunday: Kyiv"
2024-05-11,unknown,Concern about Russia dominates as Lithuanians vote
2024-05-12,unknown,Ukraine's Kharkiv Front Commander Replaced
2024-05-14,cbs-news,Breaking down the latest in Ukraine's war against Russia
2024-05-16,newsweek,Russia May Push Buffer Zone Into NATO Nation: Putin Ally
2024-05-17,newsweek,Kharkiv War Maps Reveal Russian Advances Along Front Line
2024-05-19,unknown,War and popularity keep Zelensky in power despite term expiring
2024-05-20,unknown,S-500: Russia's New Air Defense That Could Win a War Against NATO?
2024-05-22,rt,Russia reacts to UK MPs applauding Ukrainian neo-Nazis
2024-05-24,unknown,Hungary’s Bid to ‘Redefine’ NATO Status Signals Refusal to March Lockstep Into War With Russia
2024-05-25,unknown,Benjamin Abelow Interview on the Ukraine War in the Italian Newspaper La Verità
2024-05-27,unknown,Why the Summer Could Be Disastrous for Ukraine
2024-05-28,unknown,Top Biden aides signal openness to letting Ukraine strike Russia with US weapons (Politico)
2024-05-30,business-insider,"Russia's creeping advance is costing it 1,200 soldiers a day: Western intel"
2024-05-31,unknown,Russia 'Heavily Overestimated' Ukraine Gains Amid Offensive Push: ISW
2024-06-02,business-insider,NATO is finally giving Ukraine a shot at repelling Russia's destructive glide-bomb attacks on a major city
2024-06-04,cbs-news,Ukraine war looms over Biden's D-Day trip to France
2024-06-05,abc-news,"US sending $225M in military aid to Ukraine, US officials say, including ammo Kyiv can use to strike over Russian border"
2024-06-07,unknown,"Energy drinks boost Ukraine’s soldiers, and its economy"
2024-06-08,cbs-news,Russia's war in Ukraine stokes tensions in Georgia | 60 Minutes
2024-06-10,unknown,EU Proposing Sanctions on Russia Shipping Giant Sovcomflot
2024-06-12,rt,Bomb Ukraine with sex toys – Russian MP
2024-06-13,business-insider,Drone dogfights in Ukraine's skies usher in a new chapter of aerial warfare
2024-06-15,unknown,"Forever War: Zelensky, Western Leaders Reject Putin Ceasefire Proposals at Swiss Peace Summit"
2024-06-16,unknown,Hundreds of Russian Troops Are Cut Off In A Vovchansk Chemical Plant As Ukrainian Glide Bombs Rain Down
2024-06-18,unknown,Kirby Tells Russia's Putin to 'Get the Hell Out of Ukraine'
2024-06-19,unknown,"Putin threatens to arm North Korea, escalating tension with West over Ukraine"
2024-06-21,unknown,Three dead in Kharkiv bombing as Russia hits Ukrainian energy facilities with more missiles
2024-06-23,the-times-of-india,EU slaps fresh curbs on Russia gas shipments
2024-06-24,unknown,Russia bans access to over 80 Western media outlets
2024-06-26,unknown,VICTOR DAVIS HANSON: Stop The Ukrainian Meat Grinder?
2024-06-27,unknown,North Korea Said It Will Send Troops to Ukraine 'Within a Month' To Fight Alongside Russia?
2024-06-29,the-times-of-india,UK government warns of Russian interference in general election
2024-07-01,the-times-of-india,Ukraine brings AI weapons to front lines
2024-07-02,the-american-conservative,Experts Warn Against Ukraine NATO Membership in Letter
2024-07-04,the-jerusalem-post,NATO allies at summit to unveil Ukraine 'bridge to membership'
2024-07-05,unknown,Ukraine recruits criminals in fight against Russia
2024-07-07,unknown,Putin meets Indian prime minister in Russia on his first visit since Moscow sent troops into Ukraine - The Associated Press
2024-07-09,unknown,Norway will donate F-16s to Ukraine this year
2024-07-10,unknown,Biden Introduced Zelensky as Putin
2024-07-12,abc-news-au,'Russia will use any means it can': Inside Putin's 'paranoid' spy network
2024-07-13,unknown,Treason and espionage cases are rising in Russia since the war in Ukraine began - NPR
2024-07-15,unknown,Europeans alarmed by Trump VP pick Vance's opposition to Ukraine aid
2024-07-16,unknown,Russia must not be allowed to operate with impunity: UK statement to the OSCE
2024-07-18,unknown,"Trump Says Spoke With Zelensky, Pledges To 'End The War'"
2024-07-20,unknown,Russia’s Nuclear-Armed Spacecraft Could Supercharge Space War 1
2024-07-21,unknown,"American B-52s brush off encounter with Russian jets, arrive as planned at Romania base"
2024-07-23,breitbart-news,The Trump Effect: Ukraine Says It Is 'Willing and Ready' for Dialogue with Russia
2024-07-24,unknown,A Trump Peace Plan for Ukraine
2024-07-26,unknown,Russia claims capture of another village in east Ukraine
2024-07-28,unknown,Germany shrugs off Putin comments on US missiles
2024-07-29,unknown,Russia To Allow Crypto Payments in International Trade To Counter Sanctions
2024-07-31,rt,Enemies of Russia aren’t welcome – Peskov
2024-08-01,al-jazeera-english,How did Russia and the West agree to a prisoner exchange?
2024-08-03,unknown,"Ukraine finally deploying F-16 fighter jets, says Zelenskiy (Anastasiia Malenko/Reuters)"
2024-08-04,unknown,U.S.-Made F-16 Fighter Jets Spotted Over Ukraine
2024-08-06,unknown,US Libertarian VP Nominee: Democratic Party is No Longer Peace Over War
2024-08-08,unknown,"Ukraine brings war to Russia in ‘massive’ drone strike on military, government targets - Fox News"
2024-08-09,abc-news-au,"Russia evacuates more than 76,000 people in Kursk region, Zelenskyy vows to 'restore justice'"
2024-08-11,rt,US Senator urges NATO pilots to fight for Ukraine
2024-08-12,unknown,Ukraine claims new advances in Russia incursion
2024-08-14,unknown,Ukraine soldier says Russian troops were caught so off-guard that they were ‘sitting in the forest drinking coffiee’: ‘Didn’t expect us’
2024-08-16,unknown,Ukrainian First Lady reveals toll ongoing war with Russia has on relationship with Volodymyr Zelenskyy
2024-08-17,newsweek,Putin Ally Claims Third of His Army Was Deployed to Ukraine's Border
2024-08-19,unknown,"Despite Frequent Attacks, Vacationers Flock To Beaches In Russian-Occupied Crimea"
2024-08-20,unknown,"Putin ally's machine-gun Cybertruck may look 'super cool,' but it's 'useless' on the battlefield, military expert says"
2024-08-22,unknown,U.S. sanctions 400 entities aiding Russia's war — including Chinese firms
2024-08-24,unknown,Ukraine deploys robot dogs vs. Russia
2024-08-25,financial-post,"Biden, Modi Discuss Ukraine After Indian Leader’s Visit to Kyiv"
2024-08-27,unknown,"If Ukraine’s Invasion Of Russia’s Kursk Oblast Was A Diversion, It Has Failed"
2024-08-28,unknown,‘More died than remained alive’: Kyiv honours fallen soldiers
2024-08-30,newsweek,Ukrainians Call for 'Ghost of Kyiv' Pilot To Get Country's Highest Honor
2024-08-31,unknown,The Ukrainian Front in Donbas is Collapsing...
2024-09-02,unknown,"As The Russians March On Pokrovsk, the Ukrainians Damage Or Destroy Nearly 200 Vehicles In One Day"
2024-09-04,techcrunch,US charges five Russian military hackers with targeting Ukraine's government with destructive malware | TechCrunch
2024-09-05,newsweek,Iran Denies Supplying Missiles to Russia for War in Ukraine
2024-09-07,unknown,How Did the Kiev Regime Really Lose Its US-made F-16?
2024-09-08,unknown,The Kursk Offensive Is No Game Changer for Ukraine
2024-09-10,unknown,Russian Su-30SM fighter jet crashes over Black Sea
2024-09-12,bbc-news,Starmer and Biden expected to discuss allowing Ukraine to use long-range weapons inside Russia
2024-09-13,unknown,Ukraine renews calls on the West to allow long-range strikes on Russian territory
2024-09-15,unknown,The Kursk Gamble: Ukraine's Bold Move and the Risk of Russian Retaliation
2024-09-16,unknown,Russia's Lavrov tells Red Cross of Ukrainian wartime rights violations
2024-09-18,rt,EU calling for nuclear war – Russia’s top MP
2024-09-19,rt,Suspects charged in murder of American in Donbass
2024-09-21,unknown,"Russia launches nighttime strike on apartment buildings in Ukrainian city, wounding 21"
2024-09-23,unknown,The Kursk Offensive Has Thrown Russia's Ukraine War Strategy Into Chaos
2024-09-24,newsweek,Exclusive: ICC Prosecutor Vows to Resist Pressure on Gaza and Ukraine Cases
2024-09-26,unknown,"Friday, September 27. Russia’s War On Ukraine: News And Information From Ukraine"
2024-09-27,the-times-of-india,Are the Chechens using Elon Musk owned Tesla Cybertruck in the war against Ukraine? Video surfaces
2024-09-29,unknown,"VDH: Our Ukrainian War Narrative - Paradoxes, Obsessions, & Disconnects"
2024-10-01,rt,Russian court freezes assets of JP Morgan and Bank of New York
2024-10-02,unknown,North Korean Shells Fuel Russia’s War—and Kim’s Ambitions
2024-10-04,unknown,Ukraine downs Russian warplane; Russia claims gains in the east
2024-10-05,unknown,Russian opposition activist killed fighting for Ukraine
2024-10-07,unknown,France’s Mirage-2000s Bound to Be Destroyed on Ground or in Ukraine’s Skies
2024-10-09,business-insider,"Russia's drive in one battlefront has cost it a staggering 1,800 combat vehicles"
2024-10-10,rt,Russian court orders arrest in absentia of CNN journalist
2024-10-12,unknown,Zelenskiy says North Koreans fighting with Russians in Ukraine
2024-10-13,rt,Ukraine’s accession into NATO would be ‘suicide’ – EU lawmaker
2024-10-15,rt,US announces new Ukraine aid package
2024-10-16,unknown,"Biden Farewell Visit To Berlin Focused On Ukraine, Mideast Wars"
2024-10-18,unknown,"Aaron Kaufman, Director of Ukraine War Documentary ‘Superpower,’ Dies at 51"
2024-10-20,unknown,US says 'dangerous' move for North Korea to send troops to Ukraine
2024-10-21,unknown,VOA interview: US Army General Costanza discusses Russia's threat to West
2024-10-23,unknown,'Freedom': Russian Anti-war Sisters Find New Home In Exile
2024-10-24,unknown,G7 Finalize $50 Bn Ukraine Loan Backed By Russian Assets Profits
2024-10-26,unknown,The First Truckloads Of North Korean Troops May Have Reached The Front Line In Kursk
2024-10-28,unknown,"Small number of North Korean troops are already inside Ukraine, officials say - CNN"
2024-10-29,unknown,"U.S., South Korea Concerned North Koreans May Soon Fight Against Ukrainians"
2024-10-31,al-jazeera-english,Russia strikes Kharkiv ‘police station’ as US boosts Ukraine’s military
2024-11-01,unknown,Russia says Ukraine is sabotaging prisoner of war exchanges
2024-11-03,rt,EU to shelve new Russia sanctions until 2025 – media
2024-11-04,unknown,New Jersey man admits shipping sanctions-busting tech to Russia
2024-11-06,rt,Trump says he’ll talk to Putin
2024-11-08,unknown,"Russia open to hearing Trump’s proposals for ending the war, an official says"
2024-11-09,unknown,Kremlin denies Trump and Putin call discussing Ukraine
2024-11-11,newsweek,Russia Issues Ominous Warning About Undersea Internet Cables...
2024-11-12,the-irish-times,The Irish Times view on Trump and Ukraine: Change of course is ahead
2024-11-14,unknown,"Germany's Scholz speaks with Putin, demands Russia withdraw from Ukraine"
2024-11-16,unknown,Biden Is Giving Ukraine More Firepower Before Trump Takes Over
2024-11-17,unknown,Kirov-Class Battlecruiser Might Be 'Sunk' Thanks to Ukraine War
2024-11-19,the-times-of-india,Russia threatens US nuclear war by Christmas? Here's what we know of threats and possible responses
2024-11-20,unknown,NATO Expert Reveals Fears 'Cornered Rat' Vladimir Putin Is on Verge of Unleashing Chemical Weapons As Losing to Ukraine is 'Dagger to Heart'
2024-11-22,unknown,Russia's War Economy Shows Signs of Strain
2024-11-24,unknown,U.K. Man Fighting for Ukraine Is Said to Be Captured in Russia - The New York Times
2024-11-25,rt,Ukraine could be pushed into negotiations ‘within months’ – WaPo
2024-11-27,unknown,Biden calls Russia's overnight attack on Ukraine 'outrageous'
2024-11-28,unknown,"NATO to 'Deploy 100,000 Peacekeepers' in Ukraine, Russia Claims"
2024-11-30,unknown,Men in Detention Face Sexual Torture Amid War in Ukraine
2024-12-01,unknown,U.S. To Send “Massive Surge” Of Weapons To Ukraine
2024-12-03,unknown,US Military Aid to Ukraine Exceeds A Massive $62 Billion Under the Joe Biden Administration. “Throwing Money Away” to the Detriment of the American People
2024-12-05,breitbart-news,"Russia's Lavrov Tells Tucker Country Not at War With U.S., But Will Use All Means to Defend Itself"
2024-12-06,unknown,Trump discusses war in Ukraine with Zelensky and Macron in Paris
2024-12-08,unknown,Zelenskyy seeks diplomatic end to Russia's war; floats role for foreign troops
2024-12-09,unknown,Missile Strike On Ukraine Clinic Kills At Least Four
2024-12-11,unknown,"US 'Constantly Tightening' Sanctions on Russia, Yellen Says"
2024-12-13,newsweek,Ukraine War Will Be 'Resolved' in Months: Trump Envoy
2024-12-14,unknown,Moscow criticizes German ambassador over Berlin's support for Ukraine
2024-12-16,unknown,"Ukraine’s Zelensky Slams Hungary’s Orbán’s Quest for Peace, Says He ‘Does Not Have Any Leverage’ on Putin, That Kiev Needs No ‘Intermediaries’ To Talk to Trump"
2024-12-17,unknown,Speech: DPRK must cease its support for Russia’s illegal war in Ukraine: UK statement at the UN Security Council
2024-12-19,unknown,IMF gives Ukraine $1.1B for budget support
